"id","Name","Status","Roll","PumpHeadId","Level","RangeFrom","RangeTo","PumpHeadVal","ExpTitle"
"16","3.24 kW","1","2","0","0","0.00","0.00","0",
"17","3.27 kW","1","2","0","0","0.00","0.00","0",
"18","4.2 kW","1","2","0","0","0.00","0.00","0",
"118","5.4 kW","1","2","0","0","0.00","0.00","0",
"122","19.5 kW","1","2","0","0","0.00","0.00","0",
"123","6 kW","1","2","0","0","0.00","0.00","0",
"125","4.9 kW","1","2","0","0","0.00","0.00","0",
"126","3.3 kW","1","2","0","0","0.00","0.00","0",
"127","4.4 kW","1","2","0","0","0.00","0.00","0",
"128","2.2 kW","1","2","0","0","0.00","0.00","0",
"129","5.5 kW","1","2","0","0","0.00","0.00","0",
